RemainingCapacityAlarm,RemainingTimeAlarm,BatteryMode,AtRate,AtRateTimeToFull,AtRateTimeToEmpty,AtRateOK,Temperature,Voltage,Current,AverageCurrent,MaxError,RelativeStateOfCharge,AbsoluteStateOfCharge,RemainingCapacity,FullChargeCapacity,RunTimeToEmpty,AverageTimeToEmpty,AverageTimeToFull,ChargingCurrent,ChargingVoltage,BatteryStatus,CycleCount,DesignCapacity,DesignVoltage,SpecificationInfo,ManufactureDate,SerialNumber,ManufacturerName,DeviceName,DeviceChemistry,VoltageCellFour,VoltageCellThree,VoltageCellTwo,VoltageCellOne,timestamp
285,10,24576,0,65535,65535,true,22.15,10929,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3547,3678,"12:42:00 AM"
285,10,24576,0,65535,65535,true,22.15,10929,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3547,3678,"12:42:02 AM"
285,10,24576,0,65535,65535,true,22.15,10929,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3547,3678,"12:42:04 AM"
285,10,24576,0,65535,65535,true,22.15,10929,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3546,3678,"12:42:06 AM"
285,10,24576,0,65535,65535,true,22.15,10928,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3546,3678,"12:42:08 AM"
285,10,24576,0,65535,65535,true,22.15,10929,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3547,3677,"12:42:10 AM"
285,10,24576,0,65535,65535,true,22.15,10928,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3547,3678,"12:42:12 AM"
285,10,24576,0,65535,65535,true,22.15,10928,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3547,3677,"12:42:14 AM"
285,10,24576,0,65535,65535,true,22.25,10928,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3547,3677,"12:42:16 AM"
285,10,24576,0,65535,65535,true,22.25,10928,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3547,3678,"12:42:18 AM"
285,10,24576,0,65535,65535,true,22.25,10928,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3547,3677,"12:42:20 AM"
285,10,24576,0,65535,65535,true,22.25,10928,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3547,3677,"12:42:22 AM"
285,10,24576,0,65535,65535,true,22.25,10928,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3546,3677,"12:42:24 AM"
285,10,24576,0,65535,65535,true,22.25,10928,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3546,3677,"12:42:26 AM"
285,10,24576,0,65535,65535,true,22.25,10928,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3546,3678,"12:42:28 AM"
285,10,24576,0,65535,65535,true,22.25,10928,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3546,3678,"12:42:30 AM"
285,10,24576,0,65535,65535,true,22.25,10928,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3546,3678,"12:42:32 AM"
285,10,24576,0,65535,65535,true,22.25,10927,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3546,3678,"12:42:34 AM"
285,10,24576,0,65535,65535,true,22.25,10928,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3546,3677,"12:42:36 AM"
285,10,24576,0,65535,65535,true,22.25,10927,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3546,3678,"12:42:38 AM"
285,10,24576,0,65535,65535,true,22.25,10927,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3546,3678,"12:42:40 AM"
285,10,24576,0,65535,65535,true,22.25,10927,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3546,3678,"12:42:42 AM"
285,10,24576,0,65535,65535,true,22.25,10927,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3546,3677,"12:42:44 AM"
285,10,24576,0,65535,65535,true,22.25,10927,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3545,3678,"12:42:46 AM"
285,10,24576,0,65535,65535,true,22.25,10927,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3545,3678,"12:42:48 AM"
285,10,24576,0,65535,65535,true,22.25,10927,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3704,3545,3677,"12:42:50 AM"
285,10,24576,0,65535,65535,true,22.25,10927,0,0,2,24,11,312,1323,65535,65535,65535,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","",0,0,0,0,"12:42:52 AM"
285,10,24576,0,65535,65535,true,22.45,12505,15,21,2,24,11,312,1323,65535,65535,2889,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3709,5181,3682,"12:43:52 AM"
285,10,24576,0,65535,65535,true,22.45,11135,0,20,2,24,11,312,1323,65535,65535,3033,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3705,3739,3678,"12:43:54 AM"
285,10,24576,0,65535,65535,true,22.45,11082,0,17,2,24,11,312,1323,65535,65535,3568,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3705,3697,3678,"12:43:56 AM"
285,10,24576,0,65535,65535,true,22.45,11066,0,15,2,24,11,312,1323,65535,65535,4044,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3705,3682,3678,"12:43:58 AM"
285,10,24576,0,65535,65535,true,22.45,11058,0,13,2,24,11,312,1323,65535,65535,4666,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3705,3675,3678,"12:44:00 AM"
285,10,24576,0,65535,65535,true,22.45,11053,0,12,2,24,11,312,1323,65535,65535,5055,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3705,3670,3678,"12:44:02 AM"
285,10,24576,0,65535,65535,true,22.45,11050,0,10,2,24,11,312,1323,65535,65535,6066,1995,12600,192,407,2850,10950,49,"12/22/2017",28241,"133-42-6E-A","JC03031","LION",0,3705,3666,3678,"12:44:04 AM"
